symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PDCD2,0.20272477730664543,6.500821716795731,2.705672152931803,0.006996736046138285,0.036831457586121504,-2.7075631013054746
FKBPL,-0.12806995204675764,4.419426652679269,-2.705628591391212,0.006997643323087849,0.036831457586121504,-2.7076751256666665
CDR2,0.17048985068600572,7.276742858211712,2.7047525170167708,0.0070159122374651795,0.03690562053680314,-2.7099276948149287
MGAT1,-0.17231201466850998,7.118811953368699,-2.7041119366988595,0.007029297518267504,0.03693778013903193,-2.711574308898238
AHCY,-0.23195310869389457,7.865781143180603,-2.704059680905888,0.007030390445393191,0.03693778013903193,-2.711708615803189
RBM7,0.17608515998566904,6.424120504816049,2.7029819737395036,0.0070529647652708615,0.03703435481978136,-2.714477954251568
TK2,0.16765932240549583,5.516219192477719,2.7024188103578735,0.007064787067412284,0.037067656623993944,-2.715924662403919
CCT4,-0.15050401373488084,9.006922950208322,-2.7022801414578064,0.007067700832745222,0.037067656623993944,-2.7162808432101726
AGXT2L1,0.14804199245135224,3.2269393816911096,2.701658500727251,0.007080776288034827,0.03711419357621578,-2.717877351682344
SMYD2,-0.23903189595084293,7.446587467235453,-2.701111567690587,0.007092298356307008,0.03715253800883955,-2.7192816978851564
VPS53,-0.1033244079378305,3.4815584851083807,-2.7006717573036627,0.007101575941294039,0.03717908637433844,-2.7204107865026153
PSMD11,-0.18362636091922346,6.928409301126595,-2.700110445634994,0.007113432399525454,0.03721909653590569,-2.721851534398297
MFAP3L,-0.32575523306126164,4.976800178184027,-2.698976548995197,0.007137437790591037,0.037311451581911834,-2.7247610736600962
AIPL1,0.07300309739003429,3.577421378202462,2.6988777566873394,0.007139532741556951,0.037311451581911834,-2.725014514746512
ING1,-0.19450456831748025,5.547949441046742,-2.6974605901816906,0.0071696455738788295,0.03744498320936999,-2.72864910632453
CENPB,0.17967338504352043,6.869579962221384,2.697276605696728,0.00717356335940376,0.03744498320936999,-2.729120832581335
SLC25A12,0.1821449316449017,5.040108075471628,2.696558949282152,0.00718886362862839,0.037502683737770784,-2.7309605643695924
CASP2,-0.144578445043752,3.5246703707233284,-2.6955138208869007,0.007211198037408426,0.037596990003772854,-2.733638924200068
IL18BP,-0.07861732398954062,4.006941166229659,-2.6952577319845945,0.007216680173720128,0.037603374214924,-2.734295050802457
ALDH1L1,0.13524954783833085,3.9461143526464464,2.694250180736369,0.007238285396035277,0.0376785871382095,-2.7368759115774375
RIN1,-0.14565194297703948,4.714939292181078,-2.6941867731486115,0.007239647007873813,0.0376785871382095,-2.7370382997346647
GRHPR,-0.1787251911496799,7.46630860725387,-2.6934645400120885,0.007255172477516076,0.0377371515438292,-2.7388876904476307
SEMG2,0.16067382774316585,3.3434271351730973,2.6926810728902333,0.007272048120400648,0.03780266568533168,-2.740893332634619
PPP1R7,-0.18831340166511076,7.200300122027755,-2.6914455755451834,0.007298732100971919,0.037919059950461166,-2.744054994619135
HDAC6,0.1504541645212285,6.855934594462203,2.689667655983787,0.007337285734003437,0.03809694744427886,-2.74860223809244
CCNA1,0.11642443188555704,3.4991035506873964,2.687461199387296,0.00738538667161343,0.03832416867431834,-2.7542414345163695
